IDfg,Season,PA,HR,R,RBI,SB,BB%_bat,K%_bat,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP_bat,O-Swing%_bat,Z-Swing%_bat,Swing%_bat,O-Contact%_bat,Z-Contact%_bat,Contact%_bat,Zone%_bat,SwStr%_bat,LD%_bat,GB%_bat,FB%_bat,Hard%_bat,Soft%_bat,Pull%,Cent%,Oppo%,Barrel%_bat,W,L,SV,IP,BB%_pitch,K%_pitch,HR/9,ERA,WHIP,FIP,ERA-,FIP-,xFIP-,BABIP_pitch,O-Swing%_pitch,Z-Swing%_pitch,Swing%_pitch,O-Contact%_pitch,Z-Contact%_pitch,Contact%_pitch,Zone%_pitch,SwStr%_pitch,LD%_pitch,GB%_pitch,FB%_pitch,Hard%_pitch,Soft%_pitch,Barrel%_pitch,Name,Team,Age,G,WAR,League
12768,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,8.0,0.0,174.2,0.05,0.268,1.24,4.33,1.23,3.38,105.0,84.0,74.0,0.329,0.3389999999999999,0.653,0.472,0.5489999999999999,0.888,0.747,0.422,0.119,0.2239999999999999,0.435,0.341,0.3329999999999999,0.18,0.093,Sonny Gray,STL,35.0,31.0,3.5,NL
12856,2025,564.0,30.0,101.0,80.0,16.0,0.115,0.19,0.306,0.395,0.552,0.947,0.403,163.0,0.337,0.247,0.731,0.4589999999999999,0.59,0.84,0.764,0.437,0.108,0.22,0.374,0.406,0.353,0.1639999999999999,0.419,0.353,0.228,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Springer,TOR,35.0,135.0,4.8,AL
12916,2025,709.0,29.0,113.0,83.0,31.0,0.085,0.181,0.268,0.344,0.462,0.806,0.348,127.0,0.292,0.309,0.679,0.476,0.684,0.878,0.809,0.45,0.091,0.226,0.376,0.3979999999999999,0.315,0.177,0.437,0.3429999999999999,0.22,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Lindor,NYM,31.0,155.0,5.8,NL
12927,2025,631.0,25.0,79.0,91.0,12.0,0.078,0.217,0.261,0.324,0.441,0.765,0.33,115.0,0.299,0.282,0.6809999999999999,0.472,0.624,0.856,0.7829999999999999,0.477,0.102,0.1689999999999999,0.46,0.371,0.363,0.139,0.358,0.347,0.295,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Nimmo,NYM,32.0,150.0,2.9,NL
13066,2025,530.0,25.0,64.0,88.0,5.0,0.049,0.245,0.246,0.285,0.459,0.744,0.317,103.0,0.281,0.3339999999999999,0.7090000000000001,0.505,0.505,0.8109999999999999,0.701,0.456,0.151,0.184,0.457,0.359,0.351,0.149,0.384,0.373,0.243,0.1159999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teoscar Hernandez,LAD,32.0,130.0,0.7,NL
13145,2025,519.0,20.0,50.0,61.0,0.0,0.108,0.17,0.233,0.322,0.402,0.724,0.318,103.0,0.246,0.303,0.718,0.469,0.653,0.867,0.784,0.4,0.1009999999999999,0.162,0.4589999999999999,0.3779999999999999,0.354,0.173,0.414,0.33,0.257,0.1159999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Bell,WSN,32.0,136.0,-0.2,NL
13152,2025,514.0,24.0,61.0,74.0,6.0,0.08,0.154,0.263,0.324,0.484,0.808,0.345,129.0,0.268,0.306,0.685,0.4629999999999999,0.613,0.89,0.7829999999999999,0.415,0.1,0.186,0.367,0.447,0.363,0.174,0.517,0.281,0.2019999999999999,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Polanco,SEA,31.0,135.0,2.4,AL
13419,2025,623.0,23.0,68.0,82.0,2.0,0.064,0.2789999999999999,0.234,0.295,0.4,0.695,0.303,93.0,0.293,0.331,0.77,0.521,0.507,0.83,0.713,0.433,0.149,0.191,0.364,0.445,0.374,0.161,0.417,0.362,0.221,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Walker,HOU,34.0,150.0,0.7,AL
13510,2025,651.0,30.0,101.0,82.0,40.0,0.098,0.1119999999999999,0.282,0.359,0.503,0.863,0.36,133.0,0.277,0.324,0.675,0.4679999999999999,0.764,0.925,0.8590000000000001,0.41,0.066,0.203,0.331,0.465,0.304,0.176,0.5379999999999999,0.282,0.179,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jose Ramirez,CLE,32.0,153.0,6.0,AL
13611,2025,645.0,20.0,94.0,79.0,8.0,0.093,0.102,0.258,0.327,0.41,0.737,0.32,105.0,0.258,0.25,0.625,0.412,0.682,0.946,0.855,0.432,0.06,0.207,0.331,0.461,0.3279999999999999,0.1119999999999999,0.4589999999999999,0.341,0.2,0.0559999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mookie Betts,LAD,32.0,146.0,3.4,NL
13613,2025,539.0,26.0,82.0,70.0,4.0,0.1169999999999999,0.147,0.28,0.375,0.504,0.879,0.376,142.0,0.287,0.284,0.687,0.451,0.6759999999999999,0.877,0.8029999999999999,0.415,0.089,0.178,0.406,0.416,0.358,0.17,0.474,0.332,0.193,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ketel Marte,ARI,31.0,122.0,4.3,NL
13649,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,0.0,158.2,0.092,0.186,0.79,3.69,1.34,4.13,90.0,100.0,102.0,0.29,0.316,0.624,0.446,0.642,0.902,0.795,0.421,0.091,0.177,0.551,0.272,0.3389999999999999,0.146,0.071,Clay Holmes,NYM,32.0,31.0,1.8,NL
13743,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,5.0,0.0,188.1,0.063,0.235,0.67,2.92,1.11,3.12,72.0,72.0,81.0,0.281,0.311,0.68,0.47,0.61,0.847,0.757,0.429,0.114,0.182,0.525,0.294,0.278,0.206,0.069,Max Fried,NYY,31.0,31.0,4.5,AL
14078,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,0.0,166.2,0.061,0.174,0.81,4.0,1.24,3.69,95.0,88.0,109.0,0.291,0.321,0.716,0.503,0.7,0.8590000000000001,0.804,0.46,0.098,0.203,0.366,0.43,0.298,0.1689999999999999,0.076,Michael Wacha,KCR,33.0,30.0,3.4,AL
14107,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,0.0,189.1,0.064,0.244,1.0,3.47,1.03,3.45,85.0,81.0,90.0,0.253,0.348,0.7290000000000001,0.515,0.594,0.8540000000000001,0.755,0.4379999999999999,0.126,0.214,0.357,0.429,0.363,0.153,0.081,Kevin Gausman,TOR,34.0,31.0,4.0,AL
14161,2025,525.0,31.0,93.0,77.0,24.0,0.078,0.2689999999999999,0.263,0.328,0.535,0.863,0.361,133.0,0.305,0.337,0.7559999999999999,0.516,0.507,0.826,0.7070000000000001,0.427,0.151,0.17,0.363,0.467,0.396,0.119,0.527,0.301,0.173,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byron Buxton,MIN,31.0,122.0,4.7,AL
14162,2025,570.0,13.0,62.0,50.0,0.0,0.075,0.196,0.272,0.328,0.398,0.726,0.319,104.0,0.324,0.316,0.669,0.466,0.67,0.8809999999999999,0.7979999999999999,0.425,0.094,0.2269999999999999,0.481,0.292,0.345,0.162,0.386,0.341,0.273,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Correa,- - -,30.0,140.0,2.4,
14168,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,0.0,164.0,0.078,0.196,1.37,4.06,1.29,4.6,100.0,108.0,106.0,0.285,0.313,0.6809999999999999,0.46,0.665,0.897,0.8029999999999999,0.3989999999999999,0.091,0.19,0.413,0.397,0.335,0.13,0.1119999999999999,Jose Berrios,TOR,31.0,30.0,1.4,AL
14344,2025,707.0,28.0,95.0,93.0,1.0,0.127,0.24,0.275,0.369,0.485,0.854,0.369,137.0,0.335,0.282,0.677,0.45,0.675,0.809,0.7609999999999999,0.427,0.108,0.201,0.4,0.4,0.402,0.113,0.379,0.3339999999999999,0.287,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Olson,ATL,31.0,158.0,4.7,NL
14854,2025,537.0,15.0,63.0,43.0,6.0,0.125,0.196,0.229,0.325,0.39,0.715,0.313,100.0,0.262,0.266,0.627,0.423,0.7290000000000001,0.887,0.831,0.435,0.072,0.203,0.321,0.476,0.324,0.151,0.431,0.313,0.255,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Yastrzemski,- - -,34.0,142.0,1.8,
15112,2025,572.0,19.0,59.0,52.0,3.0,0.119,0.318,0.213,0.309,0.378,0.687,0.304,84.0,0.29,0.2769999999999999,0.667,0.452,0.473,0.787,0.6809999999999999,0.45,0.144,0.19,0.426,0.384,0.401,0.066,0.423,0.392,0.185,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan McMahon,- - -,30.0,150.0,1.7,
15440,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.0,0.0,174.1,0.059,0.216,0.93,3.2,1.11,3.6,77.0,89.0,101.0,0.279,0.3329999999999999,0.7120000000000001,0.511,0.684,0.85,0.792,0.469,0.106,0.175,0.379,0.446,0.297,0.1689999999999999,0.088,Matthew Boyd,CHC,34.0,30.0,3.4,NL
15454,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,0.0,181.2,0.069,0.264,1.09,2.87,0.99,3.5,71.0,86.0,93.0,0.235,0.318,0.66,0.475,0.66,0.847,0.779,0.4589999999999999,0.105,0.186,0.335,0.479,0.293,0.136,0.109,Nick Pivetta,SDP,32.0,31.0,3.7,NL
15491,2025,641.0,12.0,68.0,58.0,8.0,0.115,0.186,0.266,0.354,0.373,0.728,0.325,115.0,0.319,0.247,0.672,0.447,0.7070000000000001,0.863,0.8170000000000001,0.472,0.0819999999999999,0.247,0.432,0.322,0.261,0.178,0.344,0.312,0.344,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.P. Crawford,SEA,30.0,153.0,2.8,AL
15640,2025,657.0,49.0,131.0,105.0,12.0,0.183,0.239,0.325,0.452,0.669,1.121,0.455,199.0,0.373,0.26,0.705,0.4379999999999999,0.442,0.8009999999999999,0.6729999999999999,0.401,0.143,0.201,0.3379999999999999,0.461,0.4479999999999999,0.094,0.373,0.365,0.263,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aaron Judge,NYY,33.0,147.0,9.2,AL
15689,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,0.0,173.1,0.064,0.211,1.14,3.63,1.23,3.96,95.0,98.0,100.0,0.293,0.3389999999999999,0.742,0.513,0.675,0.8440000000000001,0.78,0.432,0.113,0.177,0.414,0.41,0.346,0.159,0.104,Luis Castillo,SEA,32.0,31.0,2.4,AL
15823,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,0.0,182.0,0.0409999999999999,0.172,1.78,3.86,1.1,4.93,91.0,115.0,104.0,0.25,0.35,0.708,0.515,0.705,0.884,0.818,0.4589999999999999,0.094,0.183,0.4029999999999999,0.414,0.344,0.152,0.099,Zack Littell,- - -,29.0,31.0,1.3,
15986,2025,669.0,28.0,91.0,84.0,12.0,0.118,0.263,0.226,0.319,0.417,0.736,0.32,106.0,0.268,0.302,0.705,0.466,0.529,0.856,0.73,0.405,0.126,0.21,0.318,0.472,0.33,0.176,0.445,0.32,0.235,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Willy Adames,SFG,29.0,156.0,3.8,NL
15998,2025,634.0,29.0,86.0,97.0,13.0,0.0819999999999999,0.14,0.269,0.328,0.483,0.811,0.346,124.0,0.271,0.3389999999999999,0.677,0.484,0.742,0.908,0.8420000000000001,0.431,0.076,0.196,0.32,0.484,0.2769999999999999,0.177,0.456,0.287,0.257,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Bellinger,NYY,29.0,147.0,4.6,AL
16137,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,9.0,0.0,189.1,0.094,0.259,1.0,3.04,1.06,3.76,75.0,88.0,92.0,0.23,0.3289999999999999,0.6509999999999999,0.451,0.586,0.84,0.725,0.3779999999999999,0.124,0.16,0.441,0.3989999999999999,0.314,0.166,0.072,Carlos Rodon,NYY,32.0,32.0,3.2,AL
16252,2025,637.0,15.0,94.0,69.0,36.0,0.068,0.168,0.305,0.356,0.458,0.815,0.353,125.0,0.351,0.346,0.7509999999999999,0.513,0.584,0.894,0.7709999999999999,0.412,0.118,0.193,0.477,0.33,0.33,0.129,0.396,0.367,0.237,0.0579999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trea Turner,PHI,32.0,140.0,6.7,NL
16442,2025,528.0,17.0,63.0,62.0,3.0,0.106,0.201,0.276,0.362,0.435,0.797,0.347,125.0,0.323,0.297,0.693,0.466,0.645,0.875,0.7909999999999999,0.426,0.0969999999999999,0.215,0.441,0.344,0.302,0.115,0.352,0.3829999999999999,0.265,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan O'Hearn,- - -,31.0,140.0,2.8,
16478,2025,703.0,54.0,108.0,130.0,10.0,0.151,0.267,0.241,0.367,0.562,0.929,0.393,152.0,0.253,0.247,0.649,0.416,0.498,0.804,0.698,0.42,0.125,0.183,0.342,0.475,0.447,0.153,0.5579999999999999,0.276,0.166,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Schwarber,PHI,32.0,157.0,4.8,NL
16505,2025,523.0,21.0,75.0,61.0,9.0,0.132,0.237,0.232,0.34,0.432,0.773,0.338,119.0,0.271,0.242,0.6659999999999999,0.423,0.612,0.85,0.772,0.427,0.096,0.173,0.401,0.426,0.358,0.157,0.451,0.315,0.235,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt Chapman,SFG,32.0,125.0,3.6,NL
16556,2025,667.0,16.0,74.0,74.0,14.0,0.0819999999999999,0.141,0.24,0.306,0.365,0.671,0.295,87.0,0.259,0.364,0.8,0.541,0.7120000000000001,0.8740000000000001,0.809,0.405,0.103,0.198,0.372,0.43,0.261,0.1669999999999999,0.504,0.325,0.171,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ozzie Albies,ATL,28.0,157.0,1.3,NL
16578,2025,642.0,25.0,78.0,83.0,3.0,0.087,0.142,0.301,0.366,0.485,0.851,0.366,135.0,0.319,0.2789999999999999,0.6509999999999999,0.444,0.731,0.907,0.846,0.444,0.068,0.19,0.532,0.278,0.382,0.133,0.278,0.395,0.327,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yandy Diaz,TBR,33.0,147.0,2.9,AL
16997,2025,610.0,16.0,79.0,74.0,4.0,0.139,0.157,0.259,0.364,0.395,0.759,0.337,117.0,0.286,0.208,0.687,0.407,0.693,0.893,0.833,0.415,0.068,0.216,0.374,0.409,0.318,0.12,0.308,0.4,0.292,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleyber Torres,DET,28.0,141.0,2.8,AL
17295,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,0.0,185.0,0.085,0.2289999999999999,0.68,3.75,1.24,3.4,92.0,81.0,81.0,0.295,0.3279999999999999,0.653,0.467,0.5670000000000001,0.888,0.759,0.429,0.1119999999999999,0.184,0.583,0.233,0.351,0.121,0.067,Framber Valdez,HOU,31.0,30.0,3.8,AL
17350,2025,711.0,33.0,95.0,106.0,1.0,0.152,0.264,0.251,0.37,0.47,0.84,0.362,133.0,0.309,0.296,0.722,0.475,0.6609999999999999,0.733,0.7070000000000001,0.419,0.139,0.174,0.433,0.3939999999999999,0.408,0.122,0.379,0.367,0.254,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Devers,- - -,28.0,159.0,3.0,
17548,2025,651.0,35.0,85.0,102.0,4.0,0.111,0.264,0.228,0.315,0.474,0.789,0.338,115.0,0.257,0.235,0.57,0.3779999999999999,0.588,0.889,0.782,0.427,0.0819999999999999,0.173,0.3389999999999999,0.488,0.364,0.134,0.3939999999999999,0.337,0.27,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taylor Ward,LAA,31.0,153.0,2.8,AL
17594,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15.0,0.0,172.2,0.063,0.1969999999999999,1.04,4.22,1.24,3.96,98.0,96.0,100.0,0.29,0.303,0.695,0.486,0.6609999999999999,0.897,0.8190000000000001,0.4679999999999999,0.088,0.2019999999999999,0.437,0.361,0.3329999999999999,0.142,0.075,Mitch Keller,PIT,29.0,31.0,2.6,NL
