IDfg,Season,PA,HR,R,RBI,SB,BB%_bat,K%_bat,AVG,OBP,SLG,OPS,wOBA,wRC+,BABIP_bat,O-Swing%_bat,Z-Swing%_bat,Swing%_bat,O-Contact%_bat,Z-Contact%_bat,Contact%_bat,Zone%_bat,SwStr%_bat,LD%_bat,GB%_bat,FB%_bat,Hard%_bat,Soft%_bat,Pull%,Cent%,Oppo%,Barrel%_bat,W,L,SV,IP,BB%_pitch,K%_pitch,HR/9,ERA,WHIP,FIP,ERA-,FIP-,xFIP-,BABIP_pitch,O-Swing%_pitch,Z-Swing%_pitch,Swing%_pitch,O-Contact%_pitch,Z-Contact%_pitch,Contact%_pitch,Zone%_pitch,SwStr%_pitch,LD%_pitch,GB%_pitch,FB%_pitch,Hard%_pitch,Soft%_pitch,Barrel%_pitch,Name,Team,Age,G,WAR,League
23395,2025,506.0,9.0,55.0,51.0,3.0,0.063,0.196,0.248,0.294,0.376,0.671,0.292,84.0,0.293,0.294,0.657,0.452,0.6,0.8809999999999999,0.777,0.433,0.1009999999999999,0.206,0.441,0.353,0.361,0.139,0.409,0.358,0.233,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric Wagaman,MIA,27.0,137.0,-0.5,NL
23697,2025,693.0,31.0,104.0,94.0,28.0,0.0579999999999999,0.216,0.268,0.322,0.474,0.796,0.341,126.0,0.304,0.4,0.775,0.556,0.591,0.83,0.73,0.417,0.15,0.181,0.47,0.348,0.373,0.145,0.369,0.3929999999999999,0.238,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julio Rodriguez,SEA,24.0,156.0,5.5,AL
23920,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,0.0,161.2,0.083,0.179,0.89,3.34,1.24,4.18,78.0,99.0,103.0,0.271,0.312,0.6659999999999999,0.457,0.6579999999999999,0.913,0.8109999999999999,0.411,0.087,0.1969999999999999,0.493,0.31,0.307,0.131,0.074,Brayan Bello,BOS,26.0,28.0,1.9,AL
24262,2025,568.0,16.0,82.0,62.0,19.0,0.046,0.2019999999999999,0.244,0.288,0.405,0.693,0.3,87.0,0.283,0.4539999999999999,0.758,0.586,0.631,0.852,0.755,0.434,0.144,0.171,0.435,0.3939999999999999,0.31,0.179,0.384,0.3989999999999999,0.217,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceddanne Rafaela,BOS,24.0,151.0,3.3,AL
24610,2025,672.0,11.0,80.0,55.0,21.0,0.08,0.085,0.277,0.336,0.383,0.719,0.315,103.0,0.288,0.253,0.601,0.416,0.816,0.971,0.921,0.4679999999999999,0.033,0.256,0.381,0.364,0.1989999999999999,0.122,0.314,0.382,0.305,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Kwan,CLE,27.0,151.0,3.3,AL
24617,2025,678.0,16.0,85.0,82.0,24.0,0.087,0.243,0.258,0.334,0.445,0.779,0.337,112.0,0.329,0.345,0.645,0.47,0.545,0.88,0.737,0.418,0.124,0.195,0.416,0.389,0.341,0.14,0.379,0.363,0.257,0.0969999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jarren Duran,BOS,28.0,153.0,3.8,AL
24679,2025,511.0,10.0,63.0,49.0,3.0,0.0819999999999999,0.129,0.287,0.354,0.421,0.775,0.338,119.0,0.315,0.275,0.629,0.433,0.773,0.934,0.878,0.445,0.053,0.212,0.425,0.363,0.313,0.134,0.369,0.359,0.273,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brendan Donovan,STL,28.0,117.0,2.7,NL
24816,2025,602.0,25.0,72.0,82.0,14.0,0.047,0.209,0.277,0.317,0.463,0.78,0.335,115.0,0.313,0.357,0.735,0.5329999999999999,0.639,0.893,0.802,0.4639999999999999,0.106,0.223,0.357,0.42,0.311,0.132,0.402,0.336,0.261,0.0819999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy Pages,LAD,24.0,151.0,3.9,NL
25377,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,0.0,166.1,0.085,0.226,0.97,3.95,1.23,3.93,89.0,90.0,102.0,0.282,0.28,0.655,0.44,0.626,0.873,0.7829999999999999,0.427,0.096,0.21,0.3939999999999999,0.396,0.311,0.141,0.09,Brady Singer,CIN,28.0,31.0,2.9,NL
25479,2025,522.0,14.0,55.0,56.0,17.0,0.057,0.257,0.233,0.275,0.37,0.645,0.281,64.0,0.289,0.3279999999999999,0.738,0.501,0.518,0.8540000000000001,0.727,0.422,0.1369999999999999,0.175,0.4579999999999999,0.367,0.374,0.156,0.444,0.335,0.221,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brenton Doyle,COL,27.0,134.0,0.4,NL
25493,2025,497.0,7.0,61.0,45.0,14.0,0.054,0.143,0.232,0.279,0.319,0.598,0.266,68.0,0.261,0.357,0.5760000000000001,0.461,0.746,0.926,0.852,0.473,0.068,0.171,0.451,0.3779999999999999,0.247,0.265,0.301,0.381,0.318,0.0279999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joey Ortiz,MIL,26.0,145.0,1.5,NL
25764,2025,664.0,23.0,97.0,84.0,37.0,0.074,0.187,0.293,0.351,0.502,0.853,0.361,130.0,0.333,0.34,0.736,0.508,0.644,0.867,0.7809999999999999,0.424,0.111,0.1989999999999999,0.369,0.433,0.406,0.135,0.344,0.371,0.286,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,KCR,25.0,152.0,7.8,AL
25768,2025,618.0,18.0,89.0,59.0,31.0,0.0579999999999999,0.1939999999999999,0.259,0.318,0.433,0.75,0.325,108.0,0.298,0.365,0.677,0.505,0.659,0.856,0.778,0.45,0.1119999999999999,0.201,0.3939999999999999,0.405,0.29,0.196,0.433,0.366,0.201,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CJ Abrams,WSN,24.0,140.0,3.2,NL
25816,2025,505.0,30.0,69.0,68.0,7.0,0.071,0.2,0.259,0.311,0.514,0.825,0.349,122.0,0.267,0.365,0.746,0.522,0.643,0.8690000000000001,0.7759999999999999,0.414,0.1169999999999999,0.185,0.371,0.444,0.387,0.163,0.436,0.354,0.21,0.1119999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shea Langeliers,ATH,27.0,119.0,3.2,
25878,2025,628.0,31.0,106.0,83.0,30.0,0.1,0.239,0.26,0.341,0.545,0.886,0.373,139.0,0.3,0.353,0.68,0.489,0.6940000000000001,0.833,0.774,0.417,0.11,0.203,0.341,0.456,0.385,0.162,0.449,0.3279999999999999,0.223,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corbin Carroll,ARI,24.0,140.0,6.4,NL
25880,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,0.0,180.1,0.078,0.285,0.85,2.3,1.01,3.17,56.0,75.0,76.0,0.258,0.32,0.63,0.446,0.618,0.8440000000000001,0.747,0.406,0.113,0.195,0.472,0.3329999999999999,0.282,0.1989999999999999,0.061,Hunter Brown,HOU,26.0,30.0,4.4,AL
25931,2025,627.0,19.0,54.0,85.0,19.0,0.026,0.204,0.246,0.266,0.404,0.67,0.286,80.0,0.28,0.46,0.7040000000000001,0.564,0.618,0.91,0.774,0.427,0.128,0.182,0.49,0.3279999999999999,0.31,0.175,0.385,0.392,0.223,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Harris II,ATL,24.0,156.0,1.1,NL
25976,2025,639.0,35.0,83.0,110.0,2.0,0.069,0.305,0.261,0.315,0.497,0.811,0.345,122.0,0.327,0.3429999999999999,0.769,0.528,0.5920000000000001,0.7979999999999999,0.722,0.434,0.147,0.207,0.4039999999999999,0.389,0.354,0.134,0.407,0.3229999999999999,0.27,0.1689999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riley Greene,DET,24.0,153.0,3.0,AL
26108,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15.0,0.0,162.2,0.087,0.155,1.16,5.31,1.44,4.69,128.0,115.0,100.0,0.295,0.288,0.6990000000000001,0.457,0.604,0.899,0.79,0.413,0.096,0.181,0.591,0.228,0.315,0.166,0.065,Andre Pallante,STL,26.0,31.0,0.7,NL
26221,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,12.0,0.0,167.2,0.09,0.246,1.4,3.86,1.16,4.37,93.0,102.0,97.0,0.258,0.322,0.72,0.5,0.635,0.84,0.767,0.4479999999999999,0.1159999999999999,0.192,0.382,0.425,0.3379999999999999,0.162,0.094,Ryan Pepiot,TBR,27.0,31.0,2.0,AL
26289,2025,630.0,16.0,84.0,67.0,28.0,0.095,0.211,0.274,0.349,0.437,0.786,0.339,119.0,0.331,0.314,0.679,0.474,0.614,0.86,0.768,0.439,0.11,0.205,0.484,0.312,0.391,0.13,0.377,0.374,0.249,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnar Henderson,BAL,24.0,149.0,4.6,AL
26294,2025,544.0,12.0,65.0,65.0,23.0,0.099,0.158,0.255,0.328,0.387,0.716,0.315,99.0,0.285,0.257,0.564,0.401,0.765,0.904,0.857,0.469,0.057,0.193,0.3939999999999999,0.412,0.27,0.159,0.3229999999999999,0.382,0.295,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryson Stott,PHI,27.0,142.0,2.9,NL
26299,2025,490.0,14.0,51.0,60.0,4.0,0.051,0.255,0.253,0.294,0.393,0.687,0.299,92.0,0.318,0.365,0.7190000000000001,0.513,0.6659999999999999,0.852,0.774,0.416,0.1159999999999999,0.2189999999999999,0.417,0.364,0.361,0.154,0.385,0.382,0.2339999999999999,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Jung,TEX,27.0,126.0,1.5,AL
26319,2025,572.0,30.0,72.0,82.0,4.0,0.093,0.24,0.254,0.336,0.491,0.827,0.355,130.0,0.289,0.276,0.6920000000000001,0.4639999999999999,0.541,0.867,0.7609999999999999,0.4529999999999999,0.111,0.21,0.364,0.426,0.374,0.089,0.4679999999999999,0.315,0.218,0.1639999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Busch,CHC,27.0,150.0,2.8,NL
26323,2025,546.0,21.0,66.0,74.0,7.0,0.088,0.222,0.24,0.312,0.418,0.729,0.318,98.0,0.276,0.286,0.695,0.477,0.585,0.857,0.77,0.467,0.11,0.203,0.3379999999999999,0.4589999999999999,0.273,0.185,0.475,0.322,0.204,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencer Steer,CIN,27.0,141.0,1.0,NL
26396,2025,557.0,9.0,69.0,34.0,12.0,0.0969999999999999,0.172,0.251,0.335,0.361,0.696,0.31,99.0,0.295,0.299,0.626,0.451,0.669,0.906,0.8220000000000001,0.466,0.08,0.2019999999999999,0.44,0.358,0.287,0.191,0.36,0.365,0.275,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Smith,TEX,27.0,142.0,1.7,AL
26546,2025,567.0,21.0,71.0,67.0,14.0,0.063,0.19,0.233,0.291,0.422,0.713,0.307,94.0,0.254,0.358,0.713,0.498,0.603,0.889,0.765,0.396,0.1169999999999999,0.186,0.46,0.354,0.359,0.2189999999999999,0.422,0.3279999999999999,0.251,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agustin Ramirez,MIA,23.0,131.0,0.1,NL
26668,2025,677.0,21.0,101.0,85.0,36.0,0.0969999999999999,0.258,0.266,0.34,0.444,0.784,0.336,110.0,0.341,0.316,0.648,0.4539999999999999,0.5429999999999999,0.8220000000000001,0.7090000000000001,0.418,0.132,0.178,0.513,0.309,0.3389999999999999,0.136,0.396,0.3389999999999999,0.265,0.1009999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elly De La Cruz,CIN,23.0,157.0,4.2,NL
27463,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,5.0,0.0,197.1,0.0579999999999999,0.316,1.09,2.69,1.05,2.95,63.0,69.0,62.0,0.296,0.36,0.703,0.515,0.564,0.8370000000000001,0.732,0.451,0.138,0.178,0.482,0.34,0.325,0.18,0.076,Garrett Crochet,BOS,26.0,31.0,5.4,AL
27465,2025,631.0,31.0,82.0,78.0,2.0,0.111,0.258,0.241,0.334,0.464,0.799,0.342,120.0,0.282,0.258,0.682,0.446,0.557,0.8590000000000001,0.762,0.4429999999999999,0.106,0.203,0.278,0.519,0.347,0.149,0.486,0.308,0.206,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencer Torkelson,DET,25.0,151.0,2.4,AL
27467,2025,607.0,24.0,73.0,91.0,8.0,0.087,0.226,0.278,0.348,0.473,0.82,0.354,125.0,0.331,0.3289999999999999,0.6890000000000001,0.488,0.598,0.888,0.779,0.441,0.108,0.2019999999999999,0.485,0.312,0.401,0.134,0.355,0.367,0.2769999999999999,0.1119999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyler Soderstrom,ATH,23.0,153.0,3.2,
27479,2025,537.0,9.0,72.0,51.0,9.0,0.063,0.19,0.253,0.31,0.363,0.673,0.298,91.0,0.301,0.297,0.631,0.449,0.742,0.897,0.841,0.456,0.071,0.214,0.38,0.406,0.26,0.176,0.405,0.341,0.254,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masyn Winn,STL,23.0,129.0,3.5,NL
27615,2025,535.0,18.0,54.0,69.0,5.0,0.071,0.144,0.294,0.346,0.464,0.81,0.349,127.0,0.316,0.33,0.696,0.491,0.7709999999999999,0.879,0.838,0.4379999999999999,0.079,0.182,0.396,0.422,0.349,0.147,0.352,0.405,0.243,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alec Burleson,STL,26.0,136.0,2.1,NL
27636,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,16.0,1.0,162.0,0.08,0.144,1.39,5.72,1.44,5.01,136.0,120.0,122.0,0.289,0.326,0.731,0.509,0.672,0.892,0.815,0.4529999999999999,0.094,0.2339999999999999,0.364,0.401,0.3829999999999999,0.125,0.096,Mitchell Parker,WSN,25.0,31.0,0.9,NL
27647,2025,578.0,19.0,64.0,72.0,18.0,0.074,0.253,0.213,0.275,0.397,0.672,0.29,85.0,0.253,0.288,0.664,0.457,0.677,0.83,0.777,0.45,0.102,0.155,0.417,0.428,0.322,0.1639999999999999,0.371,0.358,0.27,0.1009999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Volpe,NYY,24.0,148.0,1.1,AL
27676,2025,659.0,31.0,70.0,108.0,1.0,0.073,0.155,0.269,0.328,0.479,0.807,0.344,118.0,0.276,0.3289999999999999,0.669,0.478,0.703,0.919,0.835,0.4379999999999999,0.079,0.188,0.379,0.433,0.3429999999999999,0.145,0.444,0.327,0.2289999999999999,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vinnie Pasquantino,KCR,27.0,155.0,1.6,AL
27769,2025,628.0,29.0,88.0,90.0,35.0,0.046,0.24,0.246,0.286,0.476,0.762,0.322,107.0,0.277,0.4539999999999999,0.802,0.593,0.593,0.847,0.731,0.402,0.16,0.19,0.316,0.494,0.314,0.155,0.527,0.28,0.193,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pete Crow-Armstrong,CHC,23.0,152.0,5.1,NL
27782,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.0,0.0,172.2,0.05,0.19,1.3,5.0,1.33,4.22,117.0,105.0,97.0,0.314,0.3279999999999999,0.701,0.489,0.6729999999999999,0.894,0.81,0.432,0.093,0.236,0.421,0.3429999999999999,0.392,0.122,0.108,Brandon Pfaadt,ARI,26.0,32.0,1.6,NL
28163,2025,631.0,44.0,91.0,108.0,7.0,0.06,0.1969999999999999,0.259,0.304,0.533,0.838,0.353,126.0,0.254,0.353,0.718,0.506,0.648,0.846,0.7659999999999999,0.419,0.118,0.157,0.4639999999999999,0.38,0.3929999999999999,0.1369999999999999,0.476,0.348,0.176,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Caminero,TBR,21.0,149.0,4.2,AL
28806,2025,570.0,20.0,84.0,77.0,18.0,0.049,0.2019999999999999,0.27,0.307,0.462,0.769,0.328,110.0,0.307,0.402,0.7120000000000001,0.531,0.625,0.8690000000000001,0.7609999999999999,0.417,0.127,0.178,0.428,0.3939999999999999,0.358,0.182,0.356,0.384,0.259,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Chourio,MIL,21.0,127.0,2.7,NL
29518,2025,672.0,28.0,84.0,90.0,15.0,0.126,0.32,0.255,0.351,0.465,0.816,0.35,125.0,0.352,0.268,0.573,0.4,0.498,0.807,0.69,0.434,0.124,0.238,0.499,0.263,0.407,0.103,0.304,0.412,0.285,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Wood,WSN,22.0,153.0,3.1,NL
29576,2025,514.0,24.0,69.0,62.0,3.0,0.093,0.193,0.256,0.338,0.49,0.828,0.356,131.0,0.277,0.246,0.672,0.432,0.586,0.903,0.802,0.437,0.086,0.1989999999999999,0.402,0.3989999999999999,0.419,0.126,0.478,0.331,0.191,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ben Rice,NYY,26.0,134.0,2.8,AL
29622,2025,581.0,12.0,76.0,63.0,19.0,0.081,0.134,0.291,0.355,0.412,0.767,0.337,117.0,0.321,0.304,0.589,0.433,0.836,0.937,0.898,0.452,0.044,0.205,0.4529999999999999,0.342,0.207,0.24,0.422,0.357,0.22,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sal Frelick,MIL,25.0,138.0,3.6,NL
29646,2025,494.0,11.0,60.0,53.0,17.0,0.061,0.0969999999999999,0.262,0.338,0.395,0.733,0.324,108.0,0.271,0.2689999999999999,0.624,0.437,0.773,0.943,0.888,0.473,0.049,0.192,0.418,0.389,0.2689999999999999,0.193,0.434,0.373,0.193,0.0409999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caleb Durbin,MIL,25.0,133.0,2.7,NL
29695,2025,560.0,15.0,72.0,49.0,18.0,0.095,0.286,0.222,0.302,0.349,0.651,0.29,79.0,0.293,0.292,0.612,0.431,0.574,0.85,0.7440000000000001,0.434,0.11,0.173,0.384,0.4429999999999999,0.327,0.161,0.345,0.365,0.289,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matt McLain,CIN,25.0,142.0,1.5,NL
29715,2025,558.0,30.0,72.0,88.0,1.0,0.057,0.263,0.279,0.324,0.521,0.846,0.36,118.0,0.333,0.396,0.778,0.552,0.529,0.831,0.703,0.408,0.1639999999999999,0.195,0.384,0.421,0.44,0.147,0.501,0.3389999999999999,0.16,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter Goodman,COL,25.0,139.0,3.3,NL
29794,2025,514.0,26.0,46.0,68.0,2.0,0.093,0.251,0.236,0.317,0.457,0.774,0.332,114.0,0.267,0.322,0.674,0.48,0.617,0.847,0.762,0.449,0.114,0.22,0.296,0.485,0.3429999999999999,0.158,0.41,0.347,0.243,0.1159999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyle Manzardo,CLE,24.0,137.0,1.3,AL
29911,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,0.0,161.0,0.065,0.2189999999999999,1.01,2.8,1.16,3.65,63.0,84.0,104.0,0.275,0.348,0.6940000000000001,0.498,0.6779999999999999,0.847,0.78,0.435,0.11,0.206,0.314,0.48,0.267,0.172,0.078,Andrew Abbott,CIN,26.0,28.0,3.9,NL
30116,2025,632.0,27.0,69.0,92.0,5.0,0.109,0.253,0.242,0.323,0.453,0.776,0.334,116.0,0.285,0.249,0.606,0.406,0.607,0.867,0.778,0.44,0.09,0.2289999999999999,0.308,0.4629999999999999,0.356,0.139,0.405,0.348,0.246,0.1639999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seiya Suzuki,CHC,30.0,146.0,2.0,NL
30122,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,5.0,0.0,167.2,0.118,0.246,1.23,3.06,1.27,4.4,75.0,106.0,97.0,0.254,0.295,0.677,0.457,0.5329999999999999,0.8640000000000001,0.741,0.425,0.118,0.1939999999999999,0.447,0.359,0.335,0.139,0.085,Gavin Williams,CLE,25.0,31.0,1.5,AL
30134,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,176.1,0.07,0.213,1.38,4.34,1.23,4.41,107.0,107.0,100.0,0.28,0.303,0.664,0.4639999999999999,0.623,0.875,0.7829999999999999,0.444,0.1,0.159,0.4429999999999999,0.3979999999999999,0.289,0.1639999999999999,0.083,Tanner Bibee,CLE,26.0,30.0,1.7,AL
30182,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,157.1,0.093,0.238,1.14,4.35,1.37,4.01,107.0,94.0,93.0,0.302,0.275,0.64,0.425,0.655,0.853,0.778,0.411,0.094,0.215,0.429,0.356,0.3289999999999999,0.138,0.105,Will Warren,NYY,26.0,32.0,2.2,AL
30279,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,7.0,0.0,186.2,0.049,0.271,1.25,2.94,0.93,3.48,77.0,86.0,79.0,0.238,0.336,0.743,0.531,0.623,0.838,0.767,0.479,0.124,0.176,0.408,0.416,0.308,0.193,0.091,Bryan Woo,SEA,25.0,30.0,3.6,AL
31347,2025,554.0,26.0,82.0,62.0,26.0,0.06,0.2689999999999999,0.257,0.319,0.474,0.793,0.337,115.0,0.312,0.336,0.708,0.484,0.545,0.848,0.721,0.397,0.135,0.235,0.351,0.414,0.363,0.103,0.492,0.31,0.198,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zach Neto,LAA,24.0,128.0,3.2,AL
31431,2025,569.0,15.0,61.0,52.0,19.0,0.076,0.29,0.265,0.326,0.423,0.749,0.326,95.0,0.361,0.303,0.6920000000000001,0.4679999999999999,0.5489999999999999,0.804,0.7090000000000001,0.424,0.136,0.211,0.43,0.359,0.348,0.171,0.435,0.346,0.2189999999999999,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Beck,COL,24.0,143.0,1.2,NL
31595,2025,509.0,16.0,50.0,64.0,3.0,0.059,0.175,0.24,0.289,0.379,0.668,0.291,84.0,0.262,0.347,0.6970000000000001,0.494,0.5920000000000001,0.8959999999999999,0.772,0.419,0.113,0.179,0.439,0.382,0.28,0.1369999999999999,0.433,0.347,0.22,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooks Lee,MIN,24.0,134.0,0.6,AL
31781,2025,636.0,17.0,69.0,55.0,17.0,0.085,0.2189999999999999,0.245,0.316,0.381,0.697,0.307,97.0,0.295,0.268,0.6940000000000001,0.469,0.617,0.856,0.7829999999999999,0.472,0.102,0.179,0.479,0.342,0.288,0.146,0.357,0.387,0.256,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Holliday,BAL,21.0,146.0,1.3,AL
33189,2025,552.0,11.0,63.0,52.0,5.0,0.105,0.127,0.268,0.357,0.39,0.747,0.33,110.0,0.293,0.276,0.664,0.449,0.7340000000000001,0.921,0.858,0.447,0.064,0.23,0.421,0.35,0.256,0.14,0.413,0.348,0.239,0.0409999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nolan Schanuel,LAA,23.0,129.0,1.5,AL
33266,2025,508.0,13.0,62.0,60.0,5.0,0.053,0.071,0.318,0.362,0.453,0.815,0.355,125.0,0.323,0.367,0.679,0.503,0.882,0.94,0.916,0.436,0.042,0.2019999999999999,0.522,0.276,0.196,0.1689999999999999,0.364,0.369,0.267,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Wilson,ATH,23.0,121.0,3.6,
33333,2025,573.0,22.0,73.0,62.0,22.0,0.129,0.264,0.241,0.344,0.431,0.775,0.337,118.0,0.299,0.262,0.67,0.43,0.5579999999999999,0.87,0.758,0.412,0.104,0.216,0.359,0.426,0.356,0.122,0.4639999999999999,0.309,0.2269999999999999,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyatt Langford,TEX,23.0,134.0,4.0,AL
33677,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,181.2,0.059,0.294,0.54,2.03,0.96,2.42,47.0,60.0,74.0,0.273,0.3379999999999999,0.6970000000000001,0.493,0.589,0.809,0.7240000000000001,0.433,0.136,0.186,0.445,0.369,0.293,0.178,0.057,Paul Skenes,PIT,23.0,31.0,6.1,NL
33824,2025,602.0,8.0,72.0,53.0,10.0,0.078,0.113,0.261,0.324,0.4,0.724,0.316,104.0,0.283,0.258,0.6559999999999999,0.445,0.768,0.929,0.879,0.47,0.054,0.1969999999999999,0.471,0.3329999999999999,0.256,0.15,0.426,0.316,0.258,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jung Hoo Lee,SFG,26.0,146.0,2.2,NL
33825,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,0.0,167.2,0.086,0.294,0.75,2.58,0.99,2.99,61.0,71.0,74.0,0.242,0.335,0.65,0.466,0.568,0.85,0.732,0.416,0.125,0.162,0.525,0.313,0.31,0.163,0.057,Yoshinobu Yamamoto,LAD,26.0,29.0,4.7,NL
